,id,full_name,language,#commitsBeforeFollowUp,#DevsBeforeFollowUp,SQ/NonSQ,#commitsDuringFollowUp,age_in_ASF,n_closed_issues_start,start_mean_velocity,start_median_velocity,open_issues_at_start,n_created_issues_start,n_closed_issues_end,end_mean,end_median,open_issues_at_end,difference_of_means,difference_of_medians,n_created_issues_end,root_project
5,160997,apache/apr,C,8938,28,NonSQ,271,7792 days 16:52:58,0,NaT,NaT,7,2,0,NaT,NaT,9,NaT,NaT,0,apr
7,160999,apache/zookeeper,Java,2246,122,NonSQ,197,4807 days 04:04:54,260,87 days 20:46:44.746153846,10 days 05:16:44.500000,1428,338,63,252 days 13:07:12.253968252,8 days 18:24:12,1703,164 days 16:20:27.507814406,-2 days +13:07:27.500000,133,zookeeper
8,161001,apache/lucenenet,C#,5887,42,SQ,806,5495 days 16:21:27,87,43 days 11:30:30.333333333,1 days 00:07:10,73,95,116,14 days 19:47:42.594827586,0 days 14:45:24.500000,39,-29 days +08:17:12.261494253,-1 days +14:38:14.500000,145,lucenenet
10,161005,apache/jspwiki,Java,8829,14,SQ,411,7115 days 03:02:13,12,75 days 13:34:57.916666667,11 days 10:02:14.500000,153,19,44,54 days 13:57:45.454545455,7 days 04:39:51.500000,160,-21 days +00:22:47.537878788,-5 days +18:37:37,61,jspwiki
11,205402,apache/spamassassin,Perl,25284,6,NonSQ,2752,7194 days 19:26:49,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,spamassassin
13,205407,apache/directory-studio,Java,5642,11,NonSQ,100,5128 days 09:22:46,2,0 days 00:47:43.500000,0 days 00:47:43.500000,221,7,0,NaT,NaT,200,NaT,NaT,6,directory
16,205417,apache/maven-wagon,Java,1288,45,NonSQ,34,6084 days 04:46:01,10,147 days 04:33:05.100000,47 days 01:06:05.500000,20,11,3,0 days 10:12:24.666666666,0 days 00:33:37,21,-147 days +05:39:19.566666666,-48 days +23:27:31.500000,5,maven
18,205423,apache/httpd,C,32406,48,NonSQ,892,8935 days 08:29:48,26,42 days 19:46:03.500000,14 days 10:06:08.500000,23,35,6,231 days 21:20:15.833333332,264 days 04:04:01.500000,46,189 days 01:34:12.333333332,249 days 17:57:53,14,httpd
19,206317,apache/camel,Java,49473,696,SQ,12499,5036 days 00:40:39,1582,28 days 17:34:07.881163084,0 days 05:46:07,543,1590,1883,258 days 13:28:25.248539568,0 days 11:26:35,722,229 days 19:54:17.367376484,0 days 05:40:28,1599,camel
20,206318,apache/xmlgraphics-fop,Java,8366,8,NonSQ,102,7729 days 19:19:45,25,94 days 17:33:59.400000,0 days 00:15:00,536,44,31,177 days 15:02:30.483870968,0 days 02:51:40,567,82 days 21:28:31.083870968,0 days 02:36:40,33,xmlgraphics
21,206320,apache/maven-scm,Java,2108,56,NonSQ,89,6091 days 20:13:26,10,24 days 08:04:46.300000,0 days 10:41:37.500000,52,21,32,309 days 01:15:45.531250,3 days 13:16:21,38,284 days 17:10:59.231250,3 days 02:34:43.500000,26,maven
23,206339,apache/maven-release,Java,1012,36,NonSQ,106,5127 days 14:13:29,6,808 days 03:26:33.666666664,677 days 17:23:56,106,10,27,51 days 20:38:32.222222222,19 days 04:42:32,109,-757 days +17:11:58.555555558,-659 days +11:18:36,32,maven
24,206341,apache/maven-enforcer,Java,612,42,NonSQ,170,4869 days 00:31:17,42,616 days 18:35:41.071428568,236 days 05:16:04.500000,62,24,77,43 days 07:09:39.350649350,5 days 19:23:53,34,-574 days +12:33:58.279220782,-231 days +14:07:48.500000,74,maven
25,206346,apache/synapse,Java,4238,12,NonSQ,90,5558 days 17:26:36,6,12 days 22:32:00.500000,5 days 05:55:10,128,7,4,170 days 23:05:05,163 days 04:29:02,138,158 days 00:33:04.500000,157 days 22:33:52,7,synapse
26,206350,apache/cayenne,Java,6648,34,NonSQ,423,5064 days 03:44:32,34,96 days 01:20:57.205882353,7 days 14:04:20,473,45,111,311 days 18:07:49.549549548,5 days 19:14:46,479,215 days 16:46:52.343667195,-2 days +05:10:26,98,cayenne
28,206357,apache/pig,Java,3696,13,NonSQ,15,4734 days 19:36:43,3,431 days 06:52:46.666666664,41 days 20:21:25,1029,4,14,868 days 09:02:43.571428576,185 days 07:06:03.500000,1041,437 days 02:09:56.904761912,143 days 10:44:38.500000,6,pig
29,206362,apache/commons-collections,Java,3511,58,NonSQ,360,7201 days 01:31:43,43,47 days 19:32:53.790697674,1 days 04:59:21,22,38,56,12 days 09:47:42.892857142,0 days 10:58:20.500000,35,-36 days +14:14:49.102159468,-1 days +05:58:59.500000,55,commons
31,206364,apache/openjpa,Java,5110,14,NonSQ,147,5340 days 11:23:28,40,62 days 04:21:41.550000,1 days 03:03:23.500000,820,47,11,26 days 06:08:04.818181818,0 days 11:33:46,828,-36 days +01:46:23.268181818,-1 days +08:30:22.500000,15,openjpa
33,206368,apache/poi,Java,10578,14,NonSQ,1849,6908 days 21:10:37,22,3 days 14:37:58.272727272,0 days 22:27:41.500000,3,28,70,17 days 03:47:37.414285714,0 days 02:16:32.500000,9,13 days 13:09:39.141558442,-1 days +03:48:51,74,poi
34,206370,apache/nutch,Java,3176,45,NonSQ,164,5807 days 15:31:21,56,281 days 22:06:53.339285716,13 days 05:13:01,262,71,60,457 days 01:36:59.633333336,103 days 23:59:03.500000,313,175 days 03:30:06.294047620,90 days 18:46:02.500000,39,nutch
35,206371,apache/commons-codec,Java,2084,34,NonSQ,225,6459 days 11:41:20,21,27 days 12:48:11.857142857,6 days 00:31:23,14,20,32,12 days 04:12:37.406250,0 days 07:01:30.500000,9,-16 days +15:24:25.549107143,-6 days +06:30:07.500000,32,commons
37,206378,apache/commons-lang,Java,6169,152,NonSQ,911,6740 days 03:52:01,148,79 days 01:48:27.060810811,5 days 02:48:16,266,158,92,69 days 01:19:56.467391304,0 days 09:55:33.500000,323,-11 days +23:31:29.406580493,-5 days +07:07:17.500000,95,commons
38,206384,apache/logging-log4j1,Java,3234,8,NonSQ,3,4208 days 14:03:34,0,NaT,NaT,11,1,4,538 days 07:33:34,0 days 04:49:00.500000,13,NaT,NaT,3,logging
40,206387,apache/activemq,Java,10744,107,NonSQ,565,5495 days 13:27:39,121,132 days 23:15:13.214876034,8 days 17:33:02,789,144,204,52 days 09:09:58.813725490,4 days 21:11:41.500000,495,-81 days +09:54:45.598849456,-4 days +03:38:39.500000,211,activemq
42,206392,apache/xmlgraphics-commons,Java,586,5,NonSQ,20,5295 days 23:48:31,1,0 days 00:00:57,0 days 00:00:57,36,1,1,17 days 19:59:46,17 days 19:59:46,36,17 days 19:58:49,17 days 19:58:49,1,xmlgraphics
45,206396,apache/commons-io,Java,2779,66,NonSQ,1183,6915 days 03:58:20,57,25 days 17:44:05.017543859,2 days 06:43:21,29,58,55,62 days 09:18:48.981818182,0 days 09:00:23,15,36 days 15:34:43.964274323,-2 days +02:17:02,55,commons
46,206398,apache/httpcomponents-core,Java,3524,45,NonSQ,196,5804 days 09:36:00,63,9 days 23:59:59.968253968,0 days 20:49:48,11,64,43,88 days 00:50:27.209302326,1 days 18:52:18,17,78 days 00:50:27.241048358,0 days 22:02:30,39,httpcomponents
47,206399,apache/maven-doxia-sitetools,Java,828,21,NonSQ,84,4962 days 17:12:10,5,67 days 05:51:06.800000,0 days 22:21:59,14,3,31,41 days 06:41:07.225806451,24 days 01:14:13,15,-26 days +00:50:00.425806451,23 days 02:52:14,32,maven
48,206401,apache/struts-sandbox,Java,1877,8,NonSQ,1,6238 days 17:35:32,0,NaT,NaT,4,0,0,NaT,NaT,13,NaT,NaT,0,struts
49,206402,apache/httpcomponents-client,Java,3202,51,NonSQ,216,5488 days 12:52:09,83,54 days 15:16:00.325301205,0 days 21:38:03,60,80,51,6 days 18:43:07.941176470,1 days 17:15:18,53,-48 days +03:27:07.615875265,0 days 19:37:15,53,httpcomponents
50,206403,apache/jackrabbit,Java,8848,27,NonSQ,211,5931 days 00:23:09,4,382 days 10:49:03.250000,147 days 02:27:24,37,1,25,0 days 16:25:08.640000,0 days 13:17:54,34,-382 days +05:36:05.390000,-147 days +10:50:30,27,jackrabbit
51,206412,apache/wicket,Java,21018,80,NonSQ,288,5936 days 17:21:47,79,12 days 18:14:44.164556962,0 days 21:51:10,120,83,49,87 days 06:58:57.387755102,2 days 21:55:33,154,74 days 12:44:13.223198140,2 days 00:04:23,50,wicket
52,206417,apache/couchdb,Erlang,12455,157,NonSQ,523,4650 days 21:04:21,236,50 days 03:30:52.711864407,0 days 07:00:15.500000,234,254,220,102 days 23:38:29.040909091,0 days 20:17:59,293,52 days 20:07:36.329044684,0 days 13:17:43.500000,214,couchdb
54,206421,apache/maven-plugin-testing,Java,208,18,NonSQ,16,4553 days 15:54:52,1,496 days 07:48:13,496 days 07:48:13,12,0,7,20 days 05:42:38.714285714,0 days 10:44:41,2,-477 days +21:54:25.714285714,-496 days +02:56:28,8,maven
55,206422,apache/maven-site,CSS,4178,92,NonSQ,412,5745 days 20:22:32,61,29 days 21:14:40.491803278,0 days 19:15:43,33,69,55,20 days 20:21:06.327272727,2 days 12:11:25,54,-10 days +23:06:25.835469449,1 days 16:55:42,67,maven
57,206424,apache/cassandra,Java,25946,305,NonSQ,2298,4321 days 09:52:52,487,143 days 09:42:53.422997946,21 days 09:15:36,2523,656,585,113 days 20:58:28.830769232,8 days 19:53:03,2597,-30 days +11:15:35.407771286,-13 days +10:37:27,744,cassandra
59,206427,apache/tika,Java,4975,90,NonSQ,1758,5020 days 05:44:55,131,57 days 03:53:06.145038168,5 days 04:39:24,790,201,411,51 days 20:40:16.982968370,0 days 01:49:16,1040,-6 days +16:47:10.837930202,-6 days +21:09:52,429,tika
60,206428,apache/cocoon,Java,13161,18,NonSQ,8,5890 days 04:09:08,0,NaT,NaT,408,1,20,131 days 19:01:00.800000,164 days 10:47:05.500000,416,NaT,NaT,22,cocoon
61,206436,apache/struts-site,HTML,1172,37,NonSQ,184,5616 days 16:26:05,7,14 days 17:49:29.714285714,0 days 03:20:49,0,8,15,9 days 22:19:42.066666666,0 days 01:26:23,1,-5 days +04:30:12.352380952,-1 days +22:05:34,15,struts
62,206437,apache/directory-server,Java,9788,20,NonSQ,138,6172 days 21:29:12,7,34 days 11:26:43.571428571,34 days 15:29:03,381,24,34,1739 days 02:43:41.147058848,1246 days 06:42:19.500000,413,1704 days 15:16:57.575630277,1211 days 15:13:16.500000,9,directory
63,206441,apache/maven-jxr,Java,325,20,NonSQ,55,5493 days 15:39:01,1,1 days 01:14:48,1 days 01:14:48,5,2,41,19 days 07:48:21.902439024,6 days 00:33:05,10,18 days 06:33:33.902439024,4 days 23:18:17,41,maven
64,206444,apache/hive,Java,15100,236,SQ,1427,4494 days 18:00:23,1106,78 days 17:40:02.932188066,12 days 17:42:03,6712,1408,798,81 days 02:50:53.320802005,10 days 11:17:45,7421,2 days 09:10:50.388613939,-3 days +17:35:42,1014,hive
65,206445,apache/xmlgraphics-batik,Java,3523,6,NonSQ,35,7319 days 04:39:54,5,77 days 23:57:52,30 days 23:03:24,390,14,15,5 days 20:52:11.066666666,0 days 00:09:31,429,-73 days +20:54:19.066666666,-31 days +01:06:07,25,xmlgraphics
66,206452,apache/roller,Java,4540,12,NonSQ,180,5686 days 13:34:13,7,29 days 20:36:33.714285714,6 days 23:39:38,63,9,1,321 days 06:02:50,321 days 06:02:50,68,291 days 09:26:16.285714286,314 days 06:23:12,4,roller
67,206459,apache/avro,Java,2656,190,NonSQ,867,4273 days 07:48:29,139,80 days 23:34:19.697841727,4 days 17:44:32,772,264,344,84 days 05:36:35.991279070,0 days 18:48:45.500000,983,3 days 06:02:16.293437343,-4 days +01:04:13.500000,430,avro
68,206478,apache/maven-doxia,Java,1727,31,NonSQ,112,5536 days 22:52:47,16,78 days 17:34:27.875000,8 days 04:57:30,33,16,51,113 days 00:39:36.235294118,7 days 20:00:14,12,34 days 07:05:08.360294118,-1 days +15:02:44,50,maven
70,206483,apache/maven,Java,11299,136,NonSQ,412,6330 days 07:15:52,162,446 days 20:27:20.820987648,39 days 15:00:45,453,164,272,96 days 09:00:38.551470588,3 days 03:49:14,511,-351 days +12:33:17.730482940,-37 days +12:48:29,325,maven
71,206632,apache/maven-archetype,Java,1234,41,NonSQ,35,5475 days 15:08:38,16,489 days 21:09:43.625000,103 days 16:19:34,67,24,7,303 days 13:22:13.714285716,202 days 22:47:10,87,-187 days +16:12:30.089285716,99 days 06:27:36,10,maven
72,206635,apache/maven-plugin-tools,Java,1041,29,NonSQ,132,4773 days 10:25:42,19,170 days 07:13:41.894736842,2 days 09:48:02,23,14,128,96 days 15:45:28.007812500,5 days 15:10:19,26,-74 days +08:31:46.113075658,3 days 05:22:17,130,maven
73,206636,apache/commons-logging,Java,995,24,NonSQ,171,7089 days 07:47:17,26,79 days 03:06:12.769230769,38 days 06:36:03.500000,16,28,39,35 days 04:05:33.820512820,0 days 02:28:00,31,-44 days +00:59:21.051282051,-39 days +19:51:56.500000,36,commons
74,212343,apache/commons-cli,Java,987,38,NonSQ,257,6777 days 06:05:50,20,61 days 07:37:05.650000,2 days 10:33:27,10,18,40,5 days 04:40:44.450000,0 days 07:46:26.500000,7,-57 days +21:03:38.800000,-3 days +21:12:59.500000,42,commons
81,225210,apache/servicemix-maven-plugins,Java,38,6,NonSQ,2,2069 days 13:02:25,0,NaT,NaT,0,0,0,NaT,NaT,1,NaT,NaT,5,servicemix
84,240466,apache/geronimo-xbean,Java,1005,14,NonSQ,30,5615 days 11:55:53,2,0 days 00:06:14.500000,0 days 00:06:14.500000,57,4,4,5 days 07:05:33.500000,3 days 22:25:19.500000,52,5 days 06:59:19,3 days 22:19:05,9,geronimo
86,240472,apache/geronimo-javamail,Java,211,8,NonSQ,18,5234 days 00:03:36,0,NaT,NaT,0,1,0,NaT,NaT,0,NaT,NaT,0,geronimo
87,270479,apache/xmlbeans,Java,1564,7,NonSQ,260,6316 days 15:32:19,3,259 days 08:30:00.666666668,175 days 06:07:30,175,3,11,7 days 15:15:36.818181818,1 days 10:42:57,157,-252 days +06:45:36.151515150,-174 days +04:35:27,19,xmlbeans
88,291570,apache/shiro,Java,2112,47,NonSQ,279,5648 days 18:35:11,55,222 days 11:47:15.145454544,8 days 08:03:53,278,54,234,38 days 06:59:28.542735042,0 days 08:40:28,275,-185 days +19:12:13.397280498,-8 days +00:36:35,265,shiro
91,310611,apache/thrift,C++,6178,329,NonSQ,537,5325 days 20:08:27,195,72 days 22:06:05.892307692,13 days 17:11:18,826,192,165,93 days 16:01:14.272727273,1 days 21:02:15,847,20 days 17:55:08.380419581,-12 days +03:50:57,185,thrift
92,318103,apache/pdfbox,Java,9624,7,SQ,1505,4707 days 18:17:19,191,392 days 09:24:37.759162308,6 days 13:27:58,367,172,81,181 days 23:17:15.061728396,1 days 03:06:19,425,-211 days +13:52:37.302566088,-6 days +13:38:21,88,pdfbox
106,832676,apache/karaf,Java,8485,138,SQ,815,4782 days 22:10:53,341,92 days 19:52:20.178885630,1 days 10:27:21,586,343,261,99 days 12:09:52.609195402,2 days 06:00:53,657,6 days 16:17:32.430309772,0 days 19:33:32,240,karaf
126,1319605,apache/bval,Java,1102,10,NonSQ,16,3874 days 12:13:25,2,6 days 17:37:36.500000,6 days 17:37:36.500000,5,3,0,NaT,NaT,8,NaT,NaT,0,bval
127,1364412,apache/karaf-site,HTML,661,16,NonSQ,51,3782 days 05:17:04,2,0 days 22:13:40.500000,0 days 22:13:40.500000,0,2,2,0 days 10:29:53,0 days 10:29:53,0,-1 days +12:16:12.500000,-1 days +12:16:12.500000,2,karaf
129,1575956,apache/bookkeeper,Java,2382,103,NonSQ,652,3561 days 05:54:56,154,96 days 12:30:55.857142857,11 days 22:14:37,307,159,311,48 days 00:37:35.536977492,4 days 16:42:50,493,-49 days +12:06:39.679834635,-8 days +18:28:13,344,bookkeeper
132,1783046,apache/karaf-cellar,Java,1224,21,NonSQ,4,3406 days 18:03:26,4,38 days 19:23:28.750000,0 days 01:14:32.500000,1,3,3,50 days 12:00:23.666666666,34 days 21:23:26,5,11 days 16:36:54.916666666,34 days 20:08:53.500000,3,karaf
136,2046220,apache/empire-db,Java,1180,6,NonSQ,297,4504 days 08:56:04,2,42 days 09:06:33.500000,42 days 09:06:33.500000,12,7,5,13 days 23:39:54.400000,0 days 20:03:07,12,-29 days +14:33:20.900000,-42 days +10:56:33.500000,10,empire
137,2087504,apache/santuario-cpp,C++,927,3,NonSQ,16,6081 days 07:56:13,0,NaT,NaT,2,0,0,NaT,NaT,2,NaT,NaT,0,santuario
139,2155500,apache/bigtop,Python,2602,118,NonSQ,331,3439 days 17:27:26,154,104 days 20:52:02.824675324,3 days 05:02:19.500000,773,159,281,53 days 18:45:43.266903915,3 days 20:33:23,802,-52 days +21:53:40.442228591,0 days 15:31:03.500000,332,bigtop
142,2198510,apache/flume,Java,1814,50,NonSQ,154,3214 days 23:20:19,0,NaT,NaT,1094,12,108,1806 days 00:28:14.861111136,1482 days 18:07:33.500000,1099,NaT,NaT,33,flume
146,2211243,apache/kafka,Java,8345,701,NonSQ,2349,3439 days 18:45:21,1192,94 days 08:57:41.802013423,10 days 15:11:50.500000,3534,1513,1031,125 days 16:09:52.263821532,8 days 13:30:45,4796,31 days 07:12:10.461808109,-3 days +22:18:54.500000,1214,kafka
149,2282376,apache/giraph,Java,1133,28,NonSQ,5,3616 days 21:25:42,13,150 days 22:51:23.076923076,0 days 14:52:21,213,14,0,NaT,NaT,220,NaT,NaT,3,giraph
151,2383782,apache/oozie,Java,2358,17,NonSQ,41,3297 days 01:02:03,7,205 days 01:06:25,7 days 02:47:55,973,16,25,115 days 01:35:06.040000,3 days 20:44:49,951,-90 days +00:28:41.040000,-4 days +17:56:54,56,oozie
152,2442457,apache/ambari,Java,24588,125,NonSQ,219,3226 days 17:54:09,130,150 days 22:19:08.284615384,6 days 01:59:20,2076,147,358,83 days 16:47:38.357541899,2 days 20:37:18,2142,-68 days +18:28:30.072926515,-4 days +18:37:58,423,ambari
153,2493904,apache/tomcat,Java,22814,61,NonSQ,1850,5392 days 02:00:43,83,8 days 15:06:26.180722891,2 days 23:03:35,10,88,48,9 days 10:37:20.708333333,2 days 21:21:24,17,0 days 19:30:54.527610442,-1 days +22:17:49,44,tomcat
154,2524488,apache/accumulo,Java,10747,114,NonSQ,895,3375 days 17:25:37,325,885 days 15:53:02.680000,40 days 20:25:40,721,203,429,482 days 08:39:40.764568768,5 days 06:59:42,425,-404 days +16:46:38.084568768,-36 days +10:34:02,347,accumulo
155,2580767,apache/commons-fileupload,Java,1058,35,NonSQ,248,6856 days 22:43:17,23,36 days 09:31:23.391304348,19 days 01:40:17,40,26,43,10 days 10:48:03.883720930,1 days 00:02:45,43,-26 days +01:16:40.492416582,-19 days +22:22:28,43,commons
157,2580769,apache/commons-compress,Java,3115,57,NonSQ,751,6247 days 20:18:25,59,22 days 21:55:00.813559322,12 days 00:49:02,57,70,61,28 days 14:23:49.180327869,0 days 06:55:31,89,5 days 16:28:48.366768547,-12 days +06:06:29,63,commons
160,2740148,apache/opennlp,Java,1887,34,NonSQ,89,3680 days 13:35:35,19,78 days 19:52:11.263157895,8 days 21:07:46,157,30,134,319 days 16:02:37.783582088,5 days 20:39:31,175,240 days 20:10:26.520424193,-4 days +23:31:45,113,opennlp
161,2848302,apache/james-jspf,Java,692,6,NonSQ,17,5210 days 16:44:20,0,NaT,NaT,0,0,2,8 days 10:46:22,8 days 10:46:22,0,NaT,NaT,2,james
162,2945916,apache/james-mime4j,Java,834,13,NonSQ,109,5567 days 09:24:05,2,10 days 21:09:25,10 days 21:09:25,77,2,10,24 days 20:55:35.800000,7 days 01:06:50.500000,58,13 days 23:46:10.800000,-4 days +03:57:25.500000,13,james
166,3414175,apache/flex-site,HTML,1758,17,NonSQ,14,3126 days 14:01:18,0,NaT,NaT,1,0,0,NaT,NaT,1,NaT,NaT,0,flex
167,3483000,apache/cordova-apache-board-reports,,237,7,NonSQ,11,3333 days 16:19:29,2,0 days 20:25:37,0 days 20:25:37,0,3,1,1 days 01:08:15,1 days 01:08:15,0,0 days 04:42:38,0 days 04:42:38,2,cordova
168,3657930,apache/jackrabbit-oak,Java,16974,26,SQ,1222,3213 days 04:51:55,175,106 days 07:05:00.520000,5 days 02:14:23,867,201,459,169 days 17:28:24.581699348,4 days 19:29:45,1027,63 days 10:23:24.061699348,-1 days +17:15:22,432,jackrabbit
172,4416959,apache/tapestry-5,Java,5556,29,NonSQ,141,4999 days 16:24:42,21,93 days 09:25:41.476190476,4 days 10:58:33,194,28,6,481 days 16:06:29.333333336,69 days 23:05:33,196,388 days 06:40:47.857142860,65 days 12:07:00,10,tapestry
173,4544259,apache/karaf-cave,Java,343,10,NonSQ,3,3314 days 13:38:07,2,61 days 01:07:51,61 days 01:07:51,1,1,0,NaT,NaT,0,NaT,NaT,2,karaf
174,4544260,apache/any23,HTML,1921,25,SQ,153,4369 days 08:32:05,30,1205 days 07:48:09.366666672,46 days 05:37:50,56,17,9,47 days 04:26:45.888888889,24 days 00:00:49,50,-1159 days +20:38:36.522222217,-23 days +18:22:59,12,any23
175,4710920,apache/dubbo,Java,4507,308,NonSQ,1541,3332 days 00:32:11,424,158 days 04:59:37.080188680,7 days 14:44:00.500000,704,652,803,38 days 02:09:42.373599003,2 days 01:45:51,426,-121 days +21:10:05.293410323,-6 days +11:01:50.500000,961,dubbo
176,4748416,apache/manifoldcf,Java,4900,13,NonSQ,118,3987 days 10:14:03,7,9 days 12:55:52.857142857,0 days 18:38:51,109,14,40,113 days 23:38:24.550000,8 days 03:45:53,133,104 days 10:42:31.692857143,7 days 09:07:02,40,manifoldcf
178,5054231,apache/james-hupa,Java,724,6,NonSQ,3,3982 days 14:01:18,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,3,james
179,5054233,apache/james-postage,Java,75,4,NonSQ,4,5160 days 14:40:44,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,1,james
180,5054234,apache/james-jdkim,Java,160,8,NonSQ,12,3950 days 06:24:10,0,NaT,NaT,6,0,1,21 days 12:58:53,21 days 12:58:53,6,NaT,NaT,1,james
181,5054237,apache/james-jsieve,Java,603,7,NonSQ,8,6019 days 07:57:58,0,NaT,NaT,2,0,3,272 days 07:20:45,7 days 03:27:14,2,NaT,NaT,2,james
184,5611579,apache/royale-compiler,Java,4211,23,NonSQ,407,3051 days 06:38:13,9,27 days 01:33:14.888888889,1 days 08:35:00,34,17,8,165 days 07:52:45,128 days 23:49:45,47,138 days 06:19:30.111111111,127 days 15:14:45,6,royale
187,5611582,apache/flex-sdk,ActionScript,33541,39,NonSQ,2,2872 days 08:22:51,0,NaT,NaT,6,0,0,NaT,NaT,5,NaT,NaT,0,flex
188,5683653,apache/drill,Java,3909,136,NonSQ,467,3038 days 16:49:40,71,136 days 04:38:59.028169014,4 days 15:07:08,2670,102,275,151 days 16:39:28.461818182,7 days 10:59:08,2764,15 days 12:00:29.433649168,2 days 19:52:00,272,drill
189,6169821,apache/creadur-rat,Java,1074,16,NonSQ,304,4628 days 14:46:39,1,1 days 03:39:05,1 days 03:39:05,1,1,39,17 days 02:45:32.205128205,7 days 23:59:43,5,15 days 23:06:27.205128205,6 days 20:20:38,36,creadur
191,6358188,apache/druid,Java,10732,376,NonSQ,1593,2987 days 23:17:40,575,109 days 20:57:20.406956524,9 days 00:22:40,994,608,808,57 days 01:28:57.881188119,3 days 00:49:34.500000,1522,-53 days +04:31:37.474231595,-6 days +00:26:54.500000,895,druid
192,6898375,apache/cordova-coho,JavaScript,1012,48,NonSQ,13,3250 days 04:10:26,10,18 days 15:16:20.700000,0 days 07:02:56.500000,23,9,3,32 days 19:43:57.666666666,0 days 03:29:58,23,14 days 04:27:36.966666666,-1 days +20:27:01.500000,4,cordova
196,6898381,apache/cordova-android,JavaScript,3886,167,NonSQ,160,4444 days 23:56:56,98,37 days 22:48:46.653061224,1 days 11:43:45.500000,94,132,66,51 days 09:13:41.909090909,1 days 12:59:16,69,13 days 10:24:55.256029685,0 days 01:15:30.500000,76,cordova
197,6898382,apache/cordova-js,JavaScript,1997,72,NonSQ,14,3319 days 00:12:39,8,124 days 13:25:21,3 days 08:19:21,4,7,1,302 days 21:15:27,302 days 21:15:27,6,178 days 07:50:06,299 days 12:56:06,2,cordova
200,6898387,apache/cordova-ios,JavaScript,3850,171,NonSQ,69,4512 days 09:30:27,80,16 days 09:04:02.225000,0 days 18:27:58,122,117,32,193 days 19:58:21.625000,12 days 11:06:34,211,177 days 10:54:19.400000,11 days 16:38:36,39,cordova
201,6898391,apache/cordova-docs,HTML,3232,196,NonSQ,112,4173 days 21:04:30,67,148 days 13:22:57.343283582,1 days 20:19:32,94,52,32,155 days 08:46:39.281250,3 days 16:55:14,76,6 days 19:23:41.937966418,1 days 20:35:42,31,cordova
203,6898394,apache/cordova-windows,JavaScript,642,52,NonSQ,6,3107 days 03:48:50,4,50 days 11:51:49.750000,1 days 20:27:52.500000,34,6,7,907 days 03:41:48.142857136,1093 days 09:38:54,44,856 days 15:49:58.392857136,1091 days 13:11:01.500000,2,cordova
205,6898397,apache/cordova-app-hello-world,CSS,186,31,NonSQ,8,3046 days 08:57:50,0,NaT,NaT,3,2,2,0 days 01:02:39,0 days 01:02:39,1,NaT,NaT,2,cordova
206,6935442,apache/causeway,Java,15282,38,NonSQ,6488,5998 days 01:58:14,233,104 days 04:06:09.768240343,0 days 04:29:11,224,222,488,31 days 02:59:58.686475410,0 days 03:34:53,191,-74 days +22:53:48.918235067,-1 days +23:05:42,533,causeway
208,7107916,apache/commons-net,Java,2342,23,NonSQ,379,6845 days 23:10:14,26,17 days 12:26:25.307692307,3 days 06:45:37,35,31,34,115 days 17:27:50.852941176,4 days 20:50:34.500000,50,98 days 05:01:25.545248869,1 days 14:04:57.500000,32,commons
210,7126417,apache/cordova-osx,Objective-C,264,22,NonSQ,13,3876 days 18:06:08,3,1 days 03:16:32,1 days 04:40:22,7,6,0,NaT,NaT,0,NaT,NaT,0,cordova
211,7126418,apache/cordova-cli,JavaScript,1360,89,NonSQ,18,3043 days 16:58:34,41,87 days 06:22:02.048780488,0 days 05:45:24,59,36,8,32 days 04:51:17.750000,3 days 07:52:42.500000,60,-56 days +22:29:15.701219512,3 days 02:07:18.500000,19,cordova
212,7437073,apache/jena,Java,8775,66,NonSQ,1706,3158 days 03:33:08,194,48 days 19:51:07.298969072,1 days 11:53:30.500000,152,206,284,10 days 00:04:17.436619718,0 days 20:16:21.500000,181,-39 days +04:13:10.137650646,-1 days +08:22:51,279,jena
213,7728562,apache/oodt,Java,2151,25,NonSQ,100,3849 days 05:16:37,0,NaT,NaT,62,0,0,NaT,NaT,76,NaT,NaT,15,oodt
214,7748336,apache/tomee,Java,13605,104,NonSQ,1017,5469 days 18:24:38,160,289 days 06:10:20.968750,4 days 02:31:21,539,171,252,613 days 06:18:59.603174608,7 days 05:34:01,733,324 days 00:08:38.634424608,3 days 03:02:40,233,tomee
220,8427964,apache/commons-configuration,Java,3303,31,NonSQ,443,6218 days 01:58:28,41,27 days 21:36:05.487804878,5 days 18:49:19,100,50,80,77 days 17:02:24.875000,0 days 06:16:37.500000,105,49 days 19:26:19.387195122,-6 days +11:27:18.500000,79,commons
221,9185792,apache/echarts,TypeScript,7233,117,NonSQ,1763,2771 days 02:25:37,973,285 days 00:27:24.124357652,2 days 01:39:38,1735,1033,740,455 days 00:13:44.158108104,483 days 14:00:53,2188,169 days 23:46:20.033750452,481 days 12:21:15,822,echarts
225,9290694,apache/cordova-plugman,JavaScript,1031,45,NonSQ,11,3179 days 17:26:31,1,0 days 05:10:46,0 days 05:10:46,11,2,0,NaT,NaT,13,NaT,NaT,5,cordova
